TYPE_OF_PAYMENT,USER_NAME,EMAIL_ID,DEVICE_USED,MODE_OF_PAYMENT,Last_Payment_Date,Payment_Amount
FOUNDATION,ANNETTE J. HAGENS MEMORIAL FOUNDATION,NO INFO.,OFFLINE,CHEQUE,2020-08-03,3500.0
FOUNDATION,CVS HEALTH FOUNDATION,NO INFO.,OFFLINE,CHEQUE,2020-08-03,500.0
FOUNDATION,TRUST FOR THE MEDITATION PROCESS,NO INFO.,OFFLINE,CHEQUE,2020-08-24,6000.0
FOUNDATION,COMMUNITY FOUNDATION OF TAMPA BAY,NO INFO.,OFFLINE,CHEQUE,2020-09-30,27000.0
FOUNDATION,THE SKILLMAN FOUNDATION,NO INFO.,OFFLINE,CHEQUE,2020-10-14,80000.0
FOUNDATION,"COMMUNITY FOUNDATION OF SARASOTA COUNTY, INC",NO INFO.,OFFLINE,CHEQUE,2020-10-30,500.0
FOUNDATION,LG ELECTRONICS USA,NO INFO.,OFFLINE,CHEQUE,2020-11-09,342000.0
FOUNDATION,LG Electronics,NO INFO.,OFFLINE,CHEQUE,2019-09-05,120000.0
FOUNDATION,LG Electronics,NO INFO.,OFFLINE,CHEQUE,2019-09-17,24000.0
FOUNDATION,LG Electronics,NO INFO.,OFFLINE,CHEQUE,2019-11-15,120000.0
FOUNDATION,LG Electronics,NO INFO.,OFFLINE,CHEQUE,2019-11-13,5000.0
FOUNDATION,LG Electronics USA,NO INFO.,OFFLINE,CHEQUE,2020-02-28,342000.0
FOUNDATION,LG Electronics USA,NO INFO.,OFFLINE,CHEQUE,2020-05-01,223000.0
FOUNDATION,Kyan Foundation,NO INFO.,OFFLINE,CHEQUE,2021-02-08,14000.0
FOUNDATION,Access Youth & Education Dept,NO INFO.,OFFLINE,CHEQUE,2021-04-08,8000.0
FOUNDATION,LG Electronics USA 2021,NO INFO.,OFFLINE,CHEQUE,2021-05-02,343000.0
FOUNDATION,Salesforce,NO INFO.,OFFLINE,CHEQUE,2021-05-24,4100.0
FOUNDATION,Skillman Foundation,NO EMAIL,OFFLINE,CHEQUE,2021-09-23,100000.0
FOUNDATION,LG Electronics USA,NO EMAIL,OFFLINE,CHEQUE,2021-11-01,342000.0
FOUNDATION,Shah Family Foundation,NO EMAIL,OFFLINE,CHEQUE,2021-11-23,4200.0
FOUNDATION,Bright Horizon Family Solutions,NO EMAIL,OFFLINE,CHEQUE,2021-11-23,3583.0
FOUNDATION,The Shah Family Foundation,NO EMAIL,OFFLINE,CHEQUE,2021-12-06,1400.0
